category,file,codec,codec_profile,resolution,width,height,bitrate_mbps,nominal_fps,average_fps,pixel_format,possible_vfr,status,warning_count,trouble_score,severity,most_troubling,trouble_reason
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 5.mp4,h264,High,1024x576,1024,576,0.7,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 6.mp4,h264,High,1024x576,1024,576,0.63,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 7.mp4,h264,High,1024x576,1024,576,0.77,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 8.mp4,h264,High,1024x576,1024,576,0.63,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 9.mp4,h264,High,1024x576,1024,576,0.83,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 10.mp4,h264,High,1024x576,1024,576,0.56,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 11.mp4,h264,High,1024x576,1024,576,0.43,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 12.mp4,h264,High,1024x576,1024,576,0.61,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 13.mp4,h264,High,1024x576,1024,576,0.74,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 14.mp4,h264,High,1024x576,1024,576,0.85,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 15.mp4,h264,High,1024x576,1024,576,0.76,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 16.mp4,h264,High,1024x576,1024,576,0.72,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 17.mp4,h264,High,1024x576,1024,576,0.55,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 18.mp4,h264,High,1024x576,1024,576,0.65,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 19.mp4,h264,High,1024x576,1024,576,0.67,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 20.mp4,h264,High,1024x576,1024,576,0.52,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 21.mp4,h264,High,1024x576,1024,576,0.58,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 22.mp4,h264,High,1024x576,1024,576,0.67,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
